WikiPageName,Party,State
Bill_Foster_(politician),Democratic,Illinois
Justin_Amash,Republican,Michigan
Lou_Barletta,Republican,Pennsylvania
Karen_Bass,Democratic,California
Dan_Benishek,Republican,Michigan
Diane_Black,Republican,Tennessee
Mo_Brooks,Republican,Alabama
Larry_Bucshon,Republican,Indiana
John_Carney_(politician),Democratic,Delaware
David_Cicilline,Democratic,Rhode Island
Rick_Crawford_(politician),Republican,Arkansas
Jeff_Denham,Republican,California
Scott_DesJarlais,Republican,Tennessee
Sean_Duffy,Republican,Wisconsin
Jeff_Duncan_(politician),Republican,South Carolina
Renee_Ellmers,Republican,North Carolina
Blake_Farenthold,Republican,Texas
Stephen_Fincher,Republican,Tennessee
Chuck_Fleischmann,Republican,Tennessee
Bill_Flores,Republican,Texas
Bob_Gibbs,Republican,Ohio
Chris_Gibson_(New_York_politician),Republican,New York
Paul_Gosar,Republican,Arizona
Trey_Gowdy,Republican,South Carolina
Morgan_Griffith,Republican,Virginia
Michael_Grimm_(politician),Republican,New York
Richard_L._Hanna,Republican,New York
Andy_Harris_(politician),Republican,Maryland
Vicky_Hartzler,Republican,Missouri
Joe_Heck,Republican,Nevada
Jaime_Herrera_Beutler,Republican,Washington
Tim_Huelskamp,Republican,Kansas
Bill_Huizenga,Republican,Michigan
Randy_Hultgren,Republican,Illinois
Robert_Hurt_(politician),Republican,Virginia
Bill_Johnson_(Ohio_politician),Republican,Ohio
Bill_Keating_(politician),Democratic,Massachusetts
Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania
Adam_Kinzinger,Republican,Illinois
Raúl_Labrador,Republican,Idaho
Billy_Long,Republican,Missouri
Tom_Marino,Republican,Pennsylvania
David_McKinley,Republican,West Virginia
Pat_Meehan,Republican,Pennsylvania
Mick_Mulvaney,Republican,South Carolina
Kristi_Noem,Republican,South Dakota
Rich_Nugent,Republican,Florida
Alan_Nunnelee,Republican,Mississippi
Steven_Palazzo,Republican,Mississippi
Mike_Pompeo,Republican,Kansas
Jim_Renacci,Republican,Ohio
Reid_Ribble,Republican,Wisconsin
Cedric_Richmond,Democratic,Louisiana
Scott_Rigell,Republican,Virginia
Martha_Roby,Republican,Alabama
Todd_Rokita,Republican,Indiana
Dennis_Ross_(politician),Republican,Florida
David_Schweikert,Republican,Arizona
Austin_Scott_(politician),Republican,Georgia
Terri_Sewell,Democratic,Alabama
Steve_Stivers,Republican,Ohio
Scott_Tipton,Republican,Colorado
Daniel_Webster_(Florida_politician),Republican,Florida
Frederica_Wilson,Democratic,Florida
Steve_Womack,Republican,Arkansas
Rob_Woodall,Republican,Georgia
Kevin_Yoder,Republican,Kansas
Todd_Young,Republican,Indiana
Janice_Hahn,Democratic,California
Mark_Amodei,Republican,Nevada
Suzanne_Bonamici,Democratic,Oregon
Suzan_DelBene,Democratic,Washington
Thomas_Massie,Republican,Kentucky
Donald_Payne_Jr.,Democratic,New Jersey
Alan_Grayson,Democratic,Florida
Ann_Kirkpatrick,Democratic,Arizona
Dina_Titus,Democratic,Nevada
Andy_Barr_(American_politician),Republican,Kentucky
Joyce_Beatty,Democratic,Ohio
Ami_Bera,Democratic,California
Jim_Bridenstine,Republican,Oklahoma
Susan_Brooks,Republican,Indiana
Julia_Brownley,Democratic,California
Cheri_Bustos,Democratic,Illinois
Tony_Cárdenas,Democratic,California
Matt_Cartwright,Democratic,Pennsylvania
Joaquín_Castro,Democratic,Texas
Chris_Collins_(American_politician),Republican,New York
Doug_Collins_(politician),Republican,Georgia
Paul_Cook_(politician),Republican,California
Kevin_Cramer,Republican,North Dakota
Rodney_Davis_(politician),Republican,Illinois
John_Delaney_(Maryland_politician),Democratic,Maryland
Ron_DeSantis,Republican,Florida
Tammy_Duckworth,Democratic,Illinois
Elizabeth_Esty,Democratic,Connecticut
Lois_Frankel,Democratic,Florida
Tulsi_Gabbard,Democratic,Hawaii
Dennis_Heck,Democratic,Washington
George_Holding,Republican,North Carolina
Richard_Hudson_(American_politician),Republican,North Carolina
Jared_Huffman,Democratic,California
Hakeem_Jeffries,Democratic,New York
David_Joyce_(politician),Republican,Ohio
Joe_Kennedy_III,Democratic,Massachusetts
Dan_Kildee,Democratic,Michigan
Derek_Kilmer,Democratic,Washington
Ann_McLane_Kuster,Democratic,New Hampshire
Doug_LaMalfa,Republican,California
Alan_Lowenthal,Democratic,California
Michelle_Lujan_Grisham,Democratic,New Mexico
