WikiPageName,Party,State,Name,tw_id,tw_name
Andy_Barr_(American_politician),Republican,Kentucky,Andy Barr,1089334250.0,RepAndyBarr
Joyce_Beatty,Democratic,Ohio,Joyce Beatty,1531521632.0,RepBeatty
Ami_Bera,Democratic,California,Ami Bera,950783972.0,RepBera
Susan_Brooks,Republican,Indiana,Susan Brooks,1074101017.0,SusanWBrooks
Julia_Brownley,Democratic,California,Julia Brownley,1243902714.0,RepBrownley
Cheri_Bustos,Democratic,Illinois,Cheri Bustos,1092979962.0,RepCheri
Tony_Cárdenas,Democratic,California,Tony Cárdenas,1222257180.0,RepCardenas
Matt_Cartwright,Democratic,Pennsylvania,Matt Cartwright,776664410.0,RepCartwright
Joaquín_Castro,Democratic,Texas,Joaquín Castro,231510077.0,JoaquinCastrotx
Doug_Collins_(politician),Republican,Georgia,Doug Collins,1060487274.0,RepDougCollins
Paul_Cook_(politician),Republican,California,Paul Cook,1074412920.0,RepPaulCook
Rodney_Davis_(politician),Republican,Illinois,Rodney Davis,993153006.0,RodneyDavis
Lois_Frankel,Democratic,Florida,Lois Frankel,1077121945.0,RepLoisFrankel
Tulsi_Gabbard,Democratic,Hawaii,Tulsi Gabbard,1064206014.0,TulsiPress
Dennis_Heck,Democratic,Washington,Dennis Heck,1068499286.0,RepDennyHeck
George_Holding,Republican,North Carolina,George Holding,1058460818.0,RepHolding
Richard_Hudson_(American_politician),Republican,North Carolina,Richard Hudson,935033864.0,RepRichHudson
Jared_Huffman,Democratic,California,Jared Huffman,1071102246.0,RepHuffman
Hakeem_Jeffries,Democratic,New York,Hakeem Jeffries,467823431.0,RepJeffries
Joe_Kennedy_III,Democratic,Massachusetts,Joe Kennedy III,1055907624.0,RepJoeKennedy
Dan_Kildee,Democratic,Michigan,Dan Kildee,1045110018.0,RepDanKildee
Derek_Kilmer,Democratic,Washington,Derek Kilmer,1058917562.0,RepDerekKilmer
Ann_McLane_Kuster,Democratic,New Hampshire,Ann McLane Kuster,1058717720.0,RepAnnieKuster
Doug_LaMalfa,Republican,California,Doug LaMalfa,1069124515.0,RepLaMalfa
Alan_Lowenthal,Democratic,California,Alan Lowenthal,1055730738.0,RepLowenthal
Sean_Patrick_Maloney,Democratic,New York,Sean Patrick Maloney,1072467470.0,RepSeanMaloney
Mark_Meadows_(North_Carolina_politician),Republican,North Carolina,Mark Meadows,963480595.0,RepMarkMeadows
Grace_Meng,Democratic,New York,Grace Meng,1051127714.0,RepGraceMeng
Markwayne_Mullin,Republican,Oklahoma,Markwayne Mullin,1060370282.0,RepMullin
Scott_Perry_(politician),Republican,Pennsylvania,Scott Perry,18773159.0,RepScottPerry
Scott_Peters_(politician),Democratic,California,Scott Peters,1135486501.0,RepScottPeters
Mark_Pocan,Democratic,Wisconsin,Mark Pocan,1206227149.0,repmarkpocan
Tom_Rice,Republican,South Carolina,Tom Rice,1058345042.0,RepTomRice
Keith_Rothfus,Republican,Pennsylvania,Keith Rothfus,86936187.0,RothfusForPA
Raul_Ruiz_(politician),Democratic,California,Raul Ruiz,1089859058.0,CongressmanRuiz
Chris_Stewart_(politician),Republican,Utah,Chris Stewart,1072008757.0,RepChrisStewart
Eric_Swalwell,Democratic,California,Eric Swalwell,942156122.0,RepSwalwell
Mark_Takano,Democratic,California,Mark Takano,1037321378.0,RepMarkTakano
Juan_Vargas,Democratic,California,Juan Vargas,1260172386.0,RepJuanVargas
Marc_Veasey,Democratic,Texas,Marc Veasey,1074129612.0,RepVeasey
Ann_Wagner,Republican,Missouri,Ann Wagner,1051446626.0,RepAnnWagner
Jackie_Walorski,Republican,Indiana,Jackie Walorski,1065995022.0,RepWalorski
Randy_Weber,Republican,Texas,Randy Weber,1058051748.0,TXRandy14
Brad_Wenstrup,Republican,Ohio,Brad Wenstrup,518644221.0,RepBradWenstrup
Roger_Williams_(American_politician),Republican,Texas,Roger Williams,1077446982.0,RepRWilliams
Ted_Yoho,Republican,Florida,Ted Yoho,1071900114.0,RepTedYoho
Robin_Kelly,Democratic,Illinois,Robin Kelly,1339931490.0,RepRobinKelly
Jason_Smith_(politician),Republican,Missouri,Jason Smith,1623308912.0,RepJasonSmith
Katherine_Clark,Democratic,Massachusetts,Katherine Clark,2293131060.0,RepKClark
Bradley_Byrne,Republican,Alabama,Bradley Byrne,2253968388.0,RepByrne
Donald_Norcross,Democratic,New Jersey,Donald Norcross,3122099613.0,DonaldNorcross
Ralph_Abraham_(politician),Republican,Louisiana,Ralph Abraham,2962891515.0,RepAbraham
Pete_Aguilar,Democratic,California,Pete Aguilar,3018670151.0,RepPeteAguilar
Rick_W._Allen,Republican,Georgia,Rick W. Allen,2964287128.0,RepRickAllen
